Id,Name,sustain_app__CalendarYear__c,sustain_app__Currency__c,sustain_app__DataSource__c,sustain_app__InflationRateKey__c,sustain_app__InflationRate__c
a0J1g0000044uF0EAI,IR-0069,2006,NZD,Based on annual CPI change since prior year,NZD-2006,2.6663
a0J1g0000044uF1EAI,IR-0070,2007,NZD,Based on annual CPI change since prior year,NZD-2007,2.5107
a0J1g0000044uF2EAI,IR-0071,2008,NZD,Based on annual CPI change since prior year,NZD-2008,4.165
a0J1g0000044uF3EAI,IR-0072,2009,NZD,Based on annual CPI change since prior year,NZD-2009,0.8393
a0J1g0000044uF4EAI,IR-0073,2010,NZD,Based on annual CPI change since prior year,NZD-2010,1.5311
a0J1g0000044uF5EAI,IR-0074,2011,NZD,Based on annual CPI change since prior year,NZD-2011,3.2894
a0J1g0000044uF7EAI,IR-0076,2013,NZD,Based on annual CPI change since prior year,NZD-2013,1.22
a0J1g0000044uF8EAI,IR-0077,2014,NZD,Based on annual CPI change since prior year,NZD-2014,0.1993
a0J1g0000044uF9EAI,IR-0078,2015,NZD,Based on annual CPI change since prior year,NZD-2015,-0.0616
a0J1g0000044uFAEAY,IR-0079,2016,NZD,Based on annual CPI change since prior year,NZD-2016,0.1833
a0J1g0000044uFBEAY,IR-0080,2017,NZD,Based on annual CPI change since prior year,NZD-2017,1.4291
a0J1g0000044uFCEAY,IR-0081,2018,NZD,Based on annual CPI change since prior year,NZD-2018,1.7386
a0J1g0000044uFDEAY,IR-0082,2019,NZD,Based on annual CPI change since prior year,NZD-2019,1.6305
a0J1g0000044uFEEAY,IR-0083,2020,NZD,Based on annual CPI change since prior year,NZD-2020,1.7096
a0J1g0000044uFFEAY,IR-0084,2000,AUD,Based on annual CPI change since prior year,AUD-2000,4.4574
a0J1g0000044uFGEAY,IR-0085,2001,AUD,Based on annual CPI change since prior year,AUD-2001,4.4071
a0J1g0000044uFHEAY,IR-0086,2002,AUD,Based on annual CPI change since prior year,AUD-2002,2.9816
a0J1g0000044uFIEAY,IR-0087,2003,AUD,Based on annual CPI change since prior year,AUD-2003,2.7326
a0J1g0000044uFJEAY,IR-0088,2004,AUD,Based on annual CPI change since prior year,AUD-2004,2.3433
a0J1g0000044uFKEAY,IR-0089,2005,AUD,Based on annual CPI change since prior year,AUD-2005,2.6918
a0J1g0000044uFLEAY,IR-0090,2006,AUD,Based on annual CPI change since prior year,AUD-2006,3.5553
a0J1g0000044uFMEAY,IR-0091,2007,AUD,Based on annual CPI change since prior year,AUD-2007,2.3276
a0J1g0000044uFNEAY,IR-0092,2008,AUD,Based on annual CPI change since prior year,AUD-2008,4.3503
a0J1g0000044uFOEAY,IR-0093,2009,AUD,Based on annual CPI change since prior year,AUD-2009,1.7711
a0J1g0000044uFPEAY,IR-0094,2010,AUD,Based on annual CPI change since prior year,AUD-2010,2.9183
a0J1g0000044uFQEAY,IR-0095,2011,AUD,Based on annual CPI change since prior year,AUD-2011,3.3039
